@#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation,Legendary
130,GyaradosMega Gyarados,18,2,640,95,155,109,70,130,81,1,2
131,Lapras,18,12,535,130,85,80,85,95,60,1,2
132,Ditto,13, ,288,48,48,48,48,48,48,1,2
133,Eevee,13, ,325,55,55,50,45,65,55,1,2
134,Vaporeon,18, ,525,130,65,60,110,95,65,1,2
135,Jolteon,4, ,525,65,65,60,110,95,130,1,2
136,Flareon,7, ,525,65,130,60,95,110,65,1,2
137,Porygon,13, ,395,65,60,70,85,75,40,1,2
138,Omanyte,16,18,355,35,40,100,90,55,35,1,2
139,Omastar,16,18,495,70,60,125,115,70,55,1,2
140,Kabuto,16,18,355,30,80,90,55,45,55,1,2
141,Kabutops,16,18,495,60,115,105,65,70,80,1,2
142,Aerodactyl,16,8,515,80,105,65,60,75,130,1,2
142,AerodactylMega Aerodactyl,16,8,615,80,135,85,70,95,150,1,2
143,Snorlax,13, ,540,160,110,65,65,110,30,1,2
144,Articuno,12,8,580,90,85,100,95,125,85,1,1
145,Zapdos,4,8,580,90,90,85,125,90,100,1,1
146,Moltres,7,8,580,90,100,90,125,85,90,1,1
147,Dratini,3, ,300,41,64,45,50,50,50,1,2
148,3air,3, ,420,61,84,65,70,70,70,1,2
149,3ite,3,8,600,91,134,95,100,100,80,1,2
150,Mewtwo,15, ,680,106,110,90,154,90,130,1,1
150,MewtwoMega Mewtwo X,15,6,780,106,190,100,154,100,130,1,1
150,MewtwoMega Mewtwo Y,15, ,780,106,150,70,194,120,140,1,1
151,Mew,15, ,600,100,100,100,100,100,100,1,2
152,Chikorita,10, ,318,45,49,65,49,65,45,2,2
153,Bayleef,10, ,405,60,62,80,63,80,60,2,2
154,Meganium,10, ,525,80,82,100,83,100,80,2,2
155,Cyndaquil,7, ,309,39,52,43,60,50,65,2,2
156,Quilava,7, ,405,58,64,58,80,65,80,2,2
157,Typhlosion,7, ,534,78,84,78,109,85,100,2,2
158,Totodile,18, ,314,50,65,64,44,48,43,2,2
159,Croconaw,18, ,405,65,80,80,59,63,58,2,2
160,Feraligatr,18, ,530,85,105,100,79,83,78,2,2
161,Sentret,13, ,215,35,46,34,35,45,20,2,2
162,Furret,13, ,415,85,76,64,45,55,90,2,2
163,Hoothoot,13,8,262,60,30,30,36,56,50,2,2
164,Noctowl,13,8,442,100,50,50,76,96,70,2,2
165,Ledyba,1,8,265,40,20,30,40,80,55,2,2
166,Ledian,1,8,390,55,35,50,55,110,85,2,2
167,Spinarak,1,14,250,40,60,40,40,40,30,2,2
168,Ariados,1,14,390,70,90,70,60,60,40,2,2
169,Crobat,14,8,535,85,90,80,70,80,130,2,2
170,Chinchou,18,4,330,75,38,38,56,56,67,2,2
171,Lanturn,18,4,460,125,58,58,76,76,67,2,2
172,Pichu,4, ,205,20,40,15,35,35,60,2,2
173,Cleffa,5, ,218,50,25,28,45,55,15,2,2
174,Igglybuff,13,5,210,90,30,15,40,20,15,2,2
175,Togepi,5, ,245,35,20,65,40,65,20,2,2
176,Togetic,5,8,405,55,40,85,80,105,40,2,2
177,Natu,15,8,320,40,50,45,70,45,70,2,2
178,Xatu,15,8,470,65,75,70,95,70,95,2,2
179,Mareep,4, ,280,55,40,40,65,45,35,2,2
180,Flaaffy,4, ,365,70,55,55,80,60,45,2,2
181,Ampharos,4, ,510,90,75,85,115,90,55,2,2
181,AmpharosMega Ampharos,4,3,610,90,95,105,165,110,45,2,2
182,Bellossom,10, ,490,75,80,95,90,100,50,2,2
183,Marill,18,5,250,70,20,50,20,50,40,2,2
184,Azumarill,18,5,420,100,50,80,60,80,50,2,2
185,Sudowoodo,16, ,410,70,100,115,30,65,30,2,2
186,Politoed,18, ,500,90,75,75,90,100,70,2,2
187,Hoppip,10,8,250,35,35,40,35,55,50,2,2
188,Skiploom,10,8,340,55,45,50,45,65,80,2,2
189,Jumpluff,10,8,460,75,55,70,55,95,110,2,2
190,Aipom,13, ,360,55,70,55,40,55,85,2,2
191,Sunkern,10, ,180,30,30,30,30,30,30,2,2
192,Sunflora,10, ,425,75,75,55,105,85,30,2,2
193,Yanma,1,8,390,65,65,45,75,45,95,2,2
194,Wooper,18,11,210,55,45,45,25,25,15,2,2
195,Quagsire,18,11,430,95,85,85,65,65,35,2,2
196,Espeon,15, ,525,65,65,60,130,95,110,2,2
197,Umbreon,2, ,525,95,65,110,60,130,65,2,2
198,Murkrow,2,8,405,60,85,42,85,42,91,2,2
199,Slowking,18,15,490,95,75,80,100,110,30,2,2
200,Misdreavus,9, ,435,60,60,60,85,85,85,2,2
201,Unown,15, ,336,48,72,48,72,48,48,2,2
202,Wobbuffet,15, ,405,190,33,58,33,58,33,2,2
203,Girafarig,13,15,455,70,80,65,90,65,85,2,2
204,Pineco,1, ,290,50,65,90,35,35,15,2,2
205,Forretress,1,17,465,75,90,140,60,60,40,2,2
206,Dunsparce,13, ,415,100,70,70,65,65,45,2,2
207,Gligar,11,8,430,65,75,105,35,65,85,2,2
208,17ix,17,11,510,75,85,200,55,65,30,2,2
208,17ixMega 17ix,17,11,610,75,125,230,55,95,30,2,2
209,Snubbull,5, ,300,60,80,50,40,40,30,2,2
210,Granbull,5, ,450,90,120,75,60,60,45,2,2
211,Qwilfish,18,14,430,65,95,75,55,55,85,2,2
212,Scizor,1,17,500,70,130,100,55,80,65,2,2
212,ScizorMega Scizor,1,17,600,70,150,140,65,100,75,2,2
213,Shuckle,1,16,505,20,10,230,10,230,5,2,2
214,Heracross,1,6,500,80,125,75,40,95,85,2,2
214,HeracrossMega Heracross,1,6,600,80,185,115,40,105,75,2,2
215,Sneasel,2,12,430,55,95,55,35,75,115,2,2
216,Teddiursa,13, ,330,60,80,50,50,50,40,2,2
217,Ursaring,13, ,500,90,130,75,75,75,55,2,2
218,Slugma,7, ,250,40,40,40,70,40,20,2,2
219,Magcargo,7,16,410,50,50,120,80,80,30,2,2
220,Swinub,12,11,250,50,50,40,30,30,50,2,2
221,Piloswine,12,11,450,100,100,80,60,60,50,2,2
222,Corsola,18,16,380,55,55,85,65,85,35,2,2
223,Remoraid,18, ,300,35,65,35,65,35,65,2,2
224,Octillery,18, ,480,75,105,75,105,75,45,2,2
225,Delibird,12,8,330,45,55,45,65,45,75,2,2
226,Mantine,18,8,465,65,40,70,80,140,70,2,2
227,Skarmory,17,8,465,65,80,140,40,70,70,2,2
228,Houndour,2,7,330,45,60,30,80,50,65,2,2
229,Houndoom,2,7,500,75,90,50,110,80,95,2,2
229,HoundoomMega Houndoom,2,7,600,75,90,90,140,90,115,2,2
230,Kingdra,18,3,540,75,95,95,95,95,85,2,2
231,Phanpy,11, ,330,90,60,60,40,40,40,2,2
232,Donphan,11, ,500,90,120,120,60,60,50,2,2
233,Porygon2,13, ,515,85,80,90,105,95,60,2,2
234,Stantler,13, ,465,73,95,62,85,65,85,2,2
235,Smeargle,13, ,250,55,20,35,20,45,75,2,2
236,Tyrogue,6, ,210,35,35,35,35,35,35,2,2
237,Hitmontop,6, ,455,50,95,95,35,110,70,2,2
238,Smoochum,12,15,305,45,30,15,85,65,65,2,2
239,Elekid,4, ,360,45,63,37,65,55,95,2,2
240,Magby,7, ,365,45,75,37,70,55,83,2,2
241,Miltank,13, ,490,95,80,105,40,70,100,2,2
242,Blissey,13, ,540,255,10,10,75,135,55,2,2
243,Raikou,4, ,580,90,85,75,115,100,115,2,1
244,Entei,7, ,580,115,115,85,90,75,100,2,1
245,Suicune,18, ,580,100,75,115,90,115,85,2,1
246,Larvitar,16,11,300,50,64,50,45,50,41,2,2
247,Pupitar,16,11,410,70,84,70,65,70,51,2,2
248,Tyranitar,16,2,600,100,134,110,95,100,61,2,2
248,TyranitarMega Tyranitar,16,2,700,100,164,150,95,120,71,2,2
249,Lugia,15,8,680,106,90,130,90,154,110,2,1
250,Ho-oh,7,8,680,106,130,90,110,154,90,2,1
251,Celebi,15,10,600,100,100,100,100,100,100,2,2
252,Treecko,10, ,310,40,45,35,65,55,70,3,2
253,Grovyle,10, ,405,50,65,45,85,65,95,3,2
254,Sceptile,10, ,530,70,85,65,105,85,120,3,2
254,SceptileMega Sceptile,10,3,630,70,110,75,145,85,145,3,2
255,Torchic,7, ,310,45,60,40,70,50,45,3,2
256,Combusken,7,6,405,60,85,60,85,60,55,3,2
257,Blaziken,7,6,530,80,120,70,110,70,80,3,2
257,BlazikenMega Blaziken,7,6,630,80,160,80,130,80,100,3,2
258,Mudkip,18, ,310,50,70,50,50,50,40,3,2
259,Marshtomp,18,11,405,70,85,70,60,70,50,3,2
260,Swampert,18,11,535,100,110,90,85,90,60,3,2
260,SwampertMega Swampert,18,11,635,100,150,110,95,110,70,3,2
261,Poochyena,2, ,220,35,55,35,30,30,35,3,2
262,Mightyena,2, ,420,70,90,70,60,60,70,3,2
263,Zigzagoon,13, ,240,38,30,41,30,41,60,3,2
264,Linoone,13, ,420,78,70,61,50,61,100,3,2
265,Wurmple,1, ,195,45,45,35,20,30,20,3,2
266,Silcoon,1, ,205,50,35,55,25,25,15,3,2
267,Beautifly,1,8,395,60,70,50,100,50,65,3,2
268,Cascoon,1, ,205,50,35,55,25,25,15,3,2
269,Dustox,1,14,385,60,50,70,50,90,65,3,2
270,Lotad,18,10,220,40,30,30,40,50,30,3,2
271,Lombre,18,10,340,60,50,50,60,70,50,3,2
272,Ludicolo,18,10,480,80,70,70,90,100,70,3,2
273,Seedot,10, ,220,40,40,50,30,30,30,3,2
274,Nuzleaf,10,2,340,70,70,40,60,40,60,3,2
275,Shiftry,10,2,480,90,100,60,90,60,80,3,2
276,Taillow,13,8,270,40,55,30,30,30,85,3,2
277,Swellow,13,8,430,60,85,60,50,50,125,3,2
278,Wingull,18,8,270,40,30,30,55,30,85,3,2
279,Pelipper,18,8,430,60,50,100,85,70,65,3,2
280,Ralts,15,5,198,28,25,25,45,35,40,3,2
281,Kirlia,15,5,278,38,35,35,65,55,50,3,2
282,Gardevoir,15,5,518,68,65,65,125,115,80,3,2
282,GardevoirMega Gardevoir,15,5,618,68,85,65,165,135,100,3,2
283,Surskit,1,18,269,40,30,32,50,52,65,3,2
284,Masquerain,1,8,414,70,60,62,80,82,60,3,2
285,Shroomish,10, ,295,60,40,60,40,60,35,3,2
286,Breloom,10,6,460,60,130,80,60,60,70,3,2
287,Slakoth,13, ,280,60,60,60,35,35,30,3,2
288,Vigoroth,13, ,440,80,80,80,55,55,90,3,2
289,Slaking,13, ,670,150,160,100,95,65,100,3,2
290,Nincada,1,11,266,31,45,90,30,30,40,3,2
291,Ninjask,1,8,456,61,90,45,50,50,160,3,2
292,Shedinja,1,9,236,1,90,45,30,30,40,3,2
293,Whismur,13, ,240,64,51,23,51,23,28,3,2
294,Loudred,13, ,360,84,71,43,71,43,48,3,2
295,Exploud,13, ,490,104,91,63,91,73,68,3,2
296,Makuhita,6, ,237,72,60,30,20,30,25,3,2
297,Hariyama,6, ,474,144,120,60,40,60,50,3,2
298,Azurill,13,5,190,50,20,40,20,40,20,3,2
299,Nosepass,16, ,375,30,45,135,45,90,30,3,2
300,Skitty,13, ,260,50,45,45,35,35,50,3,2
301,Delcatty,13, ,380,70,65,65,55,55,70,3,2
302,Sableye,2,9,380,50,75,75,65,65,50,3,2
302,SableyeMega Sableye,2,9,480,50,85,125,85,115,20,3,2
303,Mawile,17,5,380,50,85,85,55,55,50,3,2
303,MawileMega Mawile,17,5,480,50,105,125,55,95,50,3,2
304,Aron,17,16,330,50,70,100,40,40,30,3,2
305,Lairon,17,16,430,60,90,140,50,50,40,3,2
306,Aggron,17,16,530,70,110,180,60,60,50,3,2
306,AggronMega Aggron,17, ,630,70,140,230,60,80,50,3,2
307,Meditite,6,15,280,30,40,55,40,55,60,3,2
308,Medicham,6,15,410,60,60,75,60,75,80,3,2
308,MedichamMega Medicham,6,15,510,60,100,85,80,85,100,3,2
309,Electrike,4, ,295,40,45,40,65,40,65,3,2
310,Manectric,4, ,475,70,75,60,105,60,105,3,2
310,ManectricMega Manectric,4, ,575,70,75,80,135,80,135,3,2
311,Plusle,4, ,405,60,50,40,85,75,95,3,2
312,Minun,4, ,405,60,40,50,75,85,95,3,2
313,Volbeat,1, ,400,65,73,55,47,75,85,3,2
314,Illumise,1, ,400,65,47,55,73,75,85,3,2
315,Roselia,10,14,400,50,60,45,100,80,65,3,2
316,Gulpin,14, ,302,70,43,53,43,53,40,3,2
317,Swalot,14, ,467,100,73,83,73,83,55,3,2
318,Carvanha,18,2,305,45,90,20,65,20,65,3,2
319,Sharpedo,18,2,460,70,120,40,95,40,95,3,2
319,SharpedoMega Sharpedo,18,2,560,70,140,70,110,65,105,3,2
320,Wailmer,18, ,400,130,70,35,70,35,60,3,2
321,Wailord,18, ,500,170,90,45,90,45,60,3,2
322,Numel,7,11,305,60,60,40,65,45,35,3,2
323,Camerupt,7,11,460,70,100,70,105,75,40,3,2
323,CameruptMega Camerupt,7,11,560,70,120,100,145,105,20,3,2
324,Torkoal,7, ,470,70,85,140,85,70,20,3,2
325,Spoink,15, ,330,60,25,35,70,80,60,3,2
326,Grumpig,15, ,470,80,45,65,90,110,80,3,2
327,Spinda,13, ,360,60,60,60,60,60,60,3,2
328,Trapinch,11, ,290,45,100,45,45,45,10,3,2
329,Vibrava,11,3,340,50,70,50,50,50,70,3,2
330,Flygon,11,3,520,80,100,80,80,80,100,3,2
331,Cacnea,10, ,335,50,85,40,85,40,35,3,2
332,Cacturne,10,2,475,70,115,60,115,60,55,3,2
333,Swablu,13,8,310,45,40,60,40,75,50,3,2
334,Altaria,3,8,490,75,70,90,70,105,80,3,2
334,AltariaMega Altaria,3,5,590,75,110,110,110,105,80,3,2
335,Zangoose,13, ,458,73,115,60,60,60,90,3,2
336,Seviper,14, ,458,73,100,60,100,60,65,3,2
337,Lunatone,16,15,440,70,55,65,95,85,70,3,2
338,Sol16,16,15,440,70,95,85,55,65,70,3,2
339,Barboach,18,11,288,50,48,43,46,41,60,3,2
340,Whiscash,18,11,468,110,78,73,76,71,60,3,2
341,Corphish,18, ,308,43,80,65,50,35,35,3,2
342,Crawdaunt,18,2,468,63,120,85,90,55,55,3,2
343,Baltoy,11,15,300,40,40,55,40,70,55,3,2
344,Claydol,11,15,500,60,70,105,70,120,75,3,2
345,Lileep,16,10,355,66,41,77,61,87,23,3,2
346,Cradily,16,10,495,86,81,97,81,107,43,3,2
347,Anorith,16,1,355,45,95,50,40,50,75,3,2
348,Armaldo,16,1,495,75,125,100,70,80,45,3,2
349,Feebas,18, ,200,20,15,20,10,55,80,3,2
350,Milotic,18, ,540,95,60,79,100,125,81,3,2
351,Castform,13, ,420,70,70,70,70,70,70,3,2
352,Kecleon,13, ,440,60,90,70,60,120,40,3,2
353,Shuppet,9, ,295,44,75,35,63,33,45,3,2
354,Banette,9, ,455,64,115,65,83,63,65,3,2
354,BanetteMega Banette,9, ,555,64,165,75,93,83,75,3,2
355,Duskull,9, ,295,20,40,90,30,90,25,3,2
356,Dusclops,9, ,455,40,70,130,60,130,25,3,2
357,Tropius,10,8,460,99,68,83,72,87,51,3,2
358,Chimecho,15, ,425,65,50,70,95,80,65,3,2
359,Absol,2, ,465,65,130,60,75,60,75,3,2
359,AbsolMega Absol,2, ,565,65,150,60,115,60,115,3,2
360,Wynaut,15, ,260,95,23,48,23,48,23,3,2
361,Snorunt,12, ,300,50,50,50,50,50,50,3,2
362,Glalie,12, ,480,80,80,80,80,80,80,3,2
362,GlalieMega Glalie,12, ,580,80,120,80,120,80,100,3,2
363,Spheal,12,18,290,70,40,50,55,50,25,3,2
364,Sealeo,12,18,410,90,60,70,75,70,45,3,2
365,Walrein,12,18,530,110,80,90,95,90,65,3,2
366,Clamperl,18, ,345,35,64,85,74,55,32,3,2
367,Huntail,18, ,485,55,104,105,94,75,52,3,2
368,Gorebyss,18, ,485,55,84,105,114,75,52,3,2
369,Relicanth,18,16,485,100,90,130,45,65,55,3,2
370,Luvdisc,18, ,330,43,30,55,40,65,97,3,2
371,Bagon,3, ,300,45,75,60,40,30,50,3,2
372,Shelgon,3, ,420,65,95,100,60,50,50,3,2
373,Salamence,3,8,600,95,135,80,110,80,100,3,2
373,SalamenceMega Salamence,3,8,700,95,145,130,120,90,120,3,2
374,Beldum,17,15,300,40,55,80,35,60,30,3,2
375,Metang,17,15,420,60,75,100,55,80,50,3,2
376,Metagross,17,15,600,80,135,130,95,90,70,3,2
376,MetagrossMega Metagross,17,15,700,80,145,150,105,110,110,3,2
377,Regi16,16, ,580,80,100,200,50,100,50,3,1
378,Reg12,12, ,580,80,50,100,100,200,50,3,1
379,Regi17,17, ,580,80,75,150,75,150,50,3,1
380,Latias,3,15,600,80,80,90,110,130,110,3,1
380,LatiasMega Latias,3,15,700,80,100,120,140,150,110,3,1
381,Latios,3,15,600,80,90,80,130,110,110,3,1
381,LatiosMega Latios,3,15,700,80,130,100,160,120,110,3,1
382,Kyogre,18, ,670,100,100,90,150,140,90,3,1
382,KyogrePrimal Kyogre,18, ,770,100,150,90,180,160,90,3,1
383,Groudon,11, ,670,100,150,140,100,90,90,3,1
383,GroudonPrimal Groudon,11,7,770,100,180,160,150,90,90,3,1
384,Rayquaza,3,8,680,105,150,90,150,90,95,3,1
384,RayquazaMega Rayquaza,3,8,780,105,180,100,180,100,115,3,1
385,Jirachi,17,15,600,100,100,100,100,100,100,3,1
386,Deoxys13 Forme,15, ,600,50,150,50,150,50,150,3,1
386,DeoxysAttack Forme,15, ,600,50,180,20,180,20,150,3,1
386,DeoxysDefense Forme,15, ,600,50,70,160,70,160,90,3,1
386,DeoxysSpeed Forme,15, ,600,50,95,90,95,90,180,3,1
387,Turtwig,10, ,318,55,68,64,45,55,31,4,2
388,Grotle,10, ,405,75,89,85,55,65,36,4,2
389,Torterra,10,11,525,95,109,105,75,85,56,4,2
390,Chimchar,7, ,309,44,58,44,58,44,61,4,2
391,Monferno,7,6,405,64,78,52,78,52,81,4,2
392,Infernape,7,6,534,76,104,71,104,71,108,4,2
393,Piplup,18, ,314,53,51,53,61,56,40,4,2
394,Prinplup,18, ,405,64,66,68,81,76,50,4,2
395,Empoleon,18,17,530,84,86,88,111,101,60,4,2
396,Starly,13,8,245,40,55,30,30,30,60,4,2
397,Staravia,13,8,340,55,75,50,40,40,80,4,2
398,Staraptor,13,8,485,85,120,70,50,60,100,4,2
399,Bidoof,13, ,250,59,45,40,35,40,31,4,2
400,Bibarel,13,18,410,79,85,60,55,60,71,4,2
401,Kricketot,1, ,194,37,25,41,25,41,25,4,2
402,Kricketune,1, ,384,77,85,51,55,51,65,4,2
403,Shinx,4, ,263,45,65,34,40,34,45,4,2
404,Luxio,4, ,363,60,85,49,60,49,60,4,2
405,Luxray,4, ,523,80,120,79,95,79,70,4,2
406,Budew,10,14,280,40,30,35,50,70,55,4,2
407,Roserade,10,14,515,60,70,65,125,105,90,4,2
408,Cranidos,16, ,350,67,125,40,30,30,58,4,2
409,Rampardos,16, ,495,97,165,60,65,50,58,4,2
410,Shieldon,16,17,350,30,42,118,42,88,30,4,2
411,Bastiodon,16,17,495,60,52,168,47,138,30,4,2
412,Burmy,1, ,224,40,29,45,29,45,36,4,2
