Timestamp,Género,Edad,Ubicación,Frecuencia actividades al aire libre,Tipos de camping preferidos,Factores importantes para elegir camping,Tipo de alojamiento,Satisfacción general,Limpieza del lugar,Seguridad percibida,Dificultades enfrentadas,Frecuencia problemas reservación,Probabilidad de volver,Recomendación a otros,Mejoras sugeridas
2023-11-15 10:29:30,Femenino,36-45 años,Santiago,Una vez cada 3 meses,"Montaña Bosque","Seguridad Belleza_natural",Carpa/tienda de campaña,Satisfecho/a,Aceptables,Seguro/a,,Rara vez,Probable,Probablemente sí,"Senderos mejor marcados"
2023-11-15 10:30:55,Masculino,26-35 años,Lima,Una vez al mes,"Glamping Autocaravana","Limpieza Acceso_baños",Autocaravana o camper,Muy satisfecho/a,Muy limpios,Muy seguro/a,,Nunca,Muy probable,Definitivamente sí,
2023-11-15 10:32:20,Femenino,56 años o más,Bogotá,Una vez a la semana,"Bosque","Belleza_natural Privacidad",Cabaña o refugio,Muy satisfecho/a,Muy limpios,Muy seguro/a,,Nunca,Muy probable,Definitivamente sí,
2023-11-15 10:33:45,Otro,18-25 años,Medellín,2-3 veces al mes,"Playa","Actividades_recreativas",Carpa/tienda de campaña,Neutral,Limpios,Neutral,"Insectos",A veces,Neutral,Neutral,"Más cestos de basura"
2023-11-15 10:35:10,Masculino,36-45 años,Guadalajara,Una vez cada 3 meses,"Desierto","Seguridad Precio",Autocaravana o camper,Neutral,Aceptables,Neutral,,,Neutral,Neutral,
2023-11-15 10:36:35,Femenino,26-35 años,Montevideo,Una vez al mes,"Montaña","Acceso_baños Agua_potable",Carpa/tienda de campaña,Satisfecho/a,Limpios,Seguro/a,"Clima_extremo",A veces,Probable,Probablemente sí,"Más estacionamiento"
2023-11-15 10:38:00,Masculino,46-55 años,Ciudad de México,Una vez al año,"Bosque Glamping","Seguridad Limpieza",Cabaña o refugio,Insatisfecho/a,Sucios,Poco seguro/a,"Falta_infraestructura Dificultad_reservar",Frecuentemente,Poco probable,Probablemente no,"Mejor aislamiento térmico"
2023-11-15 10:39:25,Femenino,18-25 años,Madrid,2-3 veces al mes,"Playa","Belleza_natural Actividades_recreativas",Hamaca,Muy satisfecho/a,Muy limpios,Muy seguro/a,"Saturación_gente",Rara vez,Muy probable,Definitivamente sí,"Más áreas para mascotas"
2023-11-15 10:40:50,Otro,36-45 años,Buenos Aires,Una vez cada 3 meses,"Desierto","Privacidad",Autocaravana o camper,Neutral,Aceptables,Neutral,,,Neutral,Neutral,
2023-11-15 10:42:15,Masculino,26-35 años,Santiago,Una vez al mes,"Montaña","Seguridad Acceso_baños",Carpa/tienda de campaña,Satisfecho/a,Limpios,Seguro/a,,A veces,Probable,Probablemente sí,"Más enchufes eléctricos"
2023-11-15 10:43:40,Femenino,56 años o más,Lima,Una vez a la semana,"Autocaravana","Acceso_baños Agua_potable",Autocaravana o camper,Muy satisfecho/a,Muy limpios,Muy seguro/a,,Nunca,Muy probable,Definitivamente sí,
2023-11-15 10:45:05,Masculino,18-25 años,Bogotá,2-3 veces al mes,"Playa Bosque","Limpieza Actividades_recreativas",Hamaca,Muy insatisfecho/a,Muy sucios,Nada seguro/a,"Clima_extremo Insectos Saturación_gente",Siempre,Nada probable,Definitivamente no,"Menos contaminación acústica"
2023-11-15 10:46:30,Femenino,36-45 años,Medellín,Una vez cada 3 meses,"Glamping","Seguridad Privacidad",Cabaña o refugio,Satisfecho/a,Aceptables,Seguro/a,,Rara vez,Probable,Probablemente sí,"Más personal bilingüe"
2023-11-15 10:47:55,Masculino,26-35 años,Guadalajara,Una vez al mes,"Montaña","Belleza_natural Precio",Carpa/tienda de campaña,Satisfecho/a,Limpios,Seguro/a,"Clima_extremo",A veces,Probable,Probablemente sí,"Más agua potable disponible"
2023-11-15 10:49:20,Femenino,46-55 años,Montevideo,Una vez al año,"Bosque","Seguridad",Carpa/tienda de campaña,Insatisfecho/a,Sucios,Poco seguro/a,"Falta_infraestructura",Frecuentemente,Poco probable,Probablemente no,"Más baños químicos"
2023-11-15 10:50:45,Otro,18-25 años,Ciudad de México,2-3 veces al mes,"Playa","Actividades_recreativas Precio",Carpa/tienda de campaña,Neutral,Limpios,Neutral,"Insectos",A veces,Neutral,Neutral,"Más opciones vegetarianas"
2023-11-15 10:52:10,Masculino,36-45 años,Madrid,Una vez cada 3 meses,"Desierto","Belleza_natural",Autocaravana o camper,Neutral,Aceptables,Neutral,,,Neutral,Neutral,
2023-11-15 10:53:35,Femenino,26-35 años,Buenos Aires,Una vez al mes,"Glamping","Seguridad Limpieza",Cabaña o refugio,Satisfecho/a,Limpios,Seguro/a,,A veces,Probable,Probablemente sí,"Más información local"
2023-11-15 10:55:00,Masculino,56 años o más,Santiago,Una vez a la semana,"Autocaravana","Acceso_baños Agua_potable",Autocaravana o camper,Muy satisfecho/a,Muy limpios,Muy seguro/a,,Nunca,Muy probable,Definitivamente sí,
2023-11-15 10:56:25,Femenino,18-25 años,Lima,2-3 veces al mes,"Playa Bosque","Limpieza Actividades_recreativas",Hamaca,Muy satisfecho/a,Muy limpios,Muy seguro/a,"Saturación_gente",Rara vez,Muy probable,Definitivamente sí,"Más talleres educativos"
2023-11-15 10:57:50,Otro,36-45 años,Bogotá,Una vez cada 3 meses,"Montaña","Belleza_natural Privacidad",Carpa/tienda de campaña,Neutral,Aceptables,Neutral,,,Neutral,Neutral,
2023-11-15 10:59:15,Masculino,26-35 años,Medellín,Una vez al mes,"Glamping","Seguridad Acceso_baños",Cabaña o refugio,Satisfecho/a,Limpios,Seguro/a,"Dificultad_reservar",A veces,Probable,Probablemente sí,"Más puntos de reciclaje"
2023-11-15 11:00:40,Femenino,46-55 años,Guadalajara,Una vez al año,"Bosque","Precio Privacidad",Carpa/tienda de campaña,Insatisfecho/a,Sucios,Poco seguro/a,"Falta_infraestructura",Frecuentemente,Poco probable,Probablemente no,"Más áreas comunes techadas"
2023-11-15 11:02:05,Masculino,18-25 años,Montevideo,2-3 veces al mes,"Playa","Actividades_recreativas",Carpa/tienda de campaña,Muy insatisfecho/a,Muy sucios,Nada seguro/a,"Clima_extremo Insectos",Siempre,Nada probable,Definitivamente no,"Más protección contra viento"
2023-11-15 11:03:30,Femenino,36-45 años,Ciudad de México,Una vez cada 3 meses,"Desierto","Seguridad",Autocaravana o camper,Satisfecho/a,Aceptables,Seguro/a,,Rara vez,Probable,Probablemente sí,"Más señalización de emergencia"
2023-11-15 11:04:55,Masculino,26-35 años,Madrid,Una vez al mes,"Montaña Bosque","Belleza_natural Acceso_baños",Carpa/tienda de campaña,Satisfecho/a,Limpios,Seguro/a,"Clima_extremo",A veces,Probable,Probablemente sí,"Más estaciones de carga"
2023-11-15 11:06:20,Femenino,56 años o más,Buenos Aires,Una vez a la semana,"Autocaravana","Acceso_baños Agua_potable",Autocaravana o camper,Muy satisfecho/a,Muy limpios,Muy seguro/a,,Nunca,Muy probable,Definitivamente sí,
2023-11-15 11:07:45,Otro,18-25 años,Santiago,2-3 veces al mes,"Playa","Limpieza Precio",Carpa/tienda de campaña,Neutral,Limpios,Neutral,"Insectos Saturación_gente",A veces,Neutral,Neutral,"Más juegos infantiles"
2023-11-15 11:09:10,Masculino,36-45 años,Lima,Una vez cada 3 meses,"Glamping","Seguridad Privacidad",Cabaña o refugio,Neutral,Aceptables,Neutral,,,Neutral,Neutral,
2023-11-15 11:10:35,Femenino,26-35 años,Bogotá,Una vez al mes,"Bosque","Belleza_natural",Carpa/tienda de campaña,Satisfecho/a,Limpios,Seguro/a,,A veces,Probable,Probablemente sí,"Más información sobre flora/fauna"
