ID,Frecuencia_Actividad_Fisica,Duracion_Entrenamientos,Proteina_Diaria_g,Consumo_Suplementos,Proteina_Suplementos_g,Recomendaciones_Nutricionales,Peso_Corporal_kg,Plan_Entrenamiento,Monitorea_Progresos,Alimentacion_Adaptada,Horas_Sueno,Lesiones,Participa_Competencias,Motivacion_Entrenamiento,Orientacion_Profesional,Entorno_Favorece,Objetivo_Deportivo,Factor_Influencia,Energia_Fisica,Herramientas_Registro,Estado_Emocional_Afecta,Mejoras_Ultimos_6_Meses,Calentamiento,Estiramiento_Recuperacion
17,Siempre,Más de 2 horas,Más de 150 g,Siempre,Más de 40 g,Frecuentemente,70-90 kg,Siempre,Siempre,Siempre,Siempre,Raramente,Frecuentemente,Siempre,Siempre,Siempre,Competir a nivel profesional,Entrenamiento,Muy alto,Siempre,Siempre,Muy significativas,Siempre,Siempre
18,Siempre,1-2 horas,Más de 150 g,Frecuentemente,Más de 40 g,Siempre,50-70 kg,Siempre,Siempre,Siempre,Siempre,Ocasionalmente,Frecuentemente,Siempre,Siempre,Siempre,Competir a nivel profesional,Descanso,Muy alto,Siempre,Siempre,Significativas,Siempre,Siempre
19,Siempre,1-2 horas,Más de 150 g,Siempre,Más de 40 g,Siempre,70-90 kg,Siempre,Siempre,Siempre,Siempre,Ocasionalmente,Frecuentemente,Siempre,Siempre,Siempre,Competir a nivel profesional,Nutrición,Muy alto,Siempre,Siempre,Muy significativas,Siempre,Siempre
20,Siempre,Más de 2 horas,Más de 150 g,Siempre,Más de 40 g,Frecuentemente,Más de 90 kg,Siempre,Siempre,Siempre,Siempre,Raramente,Frecuentemente,Siempre,Siempre,Siempre,Competir a nivel profesional,Motivación,Muy alto,Siempre,Siempre,Muy significativas,Siempre,Siempre
21,Frecuentemente,1-2 horas,100-150 g,Frecuentemente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Frecuentemente,Frecuentemente,Competir a nivel amateur,Entrenamiento,Alto,Frecuentemente,Frecuentemente,Significativas,Siempre,Siempre
22,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Frecuentemente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Frecuentemente,Siempre,Significativas,Siempre,Siempre
23,Siempre,1-2 horas,Más de 150 g,Frecuentemente,Más de 40 g,Frecuentemente,70-90 kg,Siempre,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Frecuentemente,Siempre,Frecuentemente,Siempre,Competir a nivel amateur,Nutrición,Muy alto,Siempre,Siempre,Significativas,Siempre,Siempre
24,Frecuentemente,1-2 horas,100-150 g,Ocasionalmente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Competir a nivel amateur,Entrenamiento,Alto,Frecuentemente,Frecuentemente,Significativas,Frecuentemente,Frecuentemente
25,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,Menos de 20 g,Frecuentemente,50-70 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Frecuentemente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Frecuentemente,Siempre,Significativas,Siempre,Siempre
26,Siempre,1-2 horas,Más de 150 g,Ocasionalmente,20-40 g,Frecuentemente,70-90 kg,Siempre,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Siempre,Ocasionalmente,Siempre,Competir a nivel amateur,Entrenamiento,Muy alto,Siempre,Siempre,Significativas,Siempre,Siempre
27,Frecuentemente,1-2 horas,100-150 g,Frecuentemente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
28,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Alto,Ocasionalmente,Frecuentemente,Significativas,Frecuentemente,Frecuentemente
29,Siempre,1-2 horas,Más de 150 g,Frecuentemente,Más de 40 g,Frecuentemente,70-90 kg,Siempre,Casi Siempre,Frecuentemente,Siempre,Ocasionalmente,Frecuentemente,Siempre,Frecuentemente,Siempre,Competir a nivel amateur,Nutrición,Muy alto,Siempre,Siempre,Significativas,Siempre,Siempre
30,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Frecuentemente,Ocasionalmente,Moderadas,Frecuentemente,Frecuentemente
31,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Frecuentemente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Frecuentemente,Siempre,Significativas,Siempre,Siempre
32,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Frecuentemente,Nunca,Nunca,Ocasionalmente,Raramente,Ocasionalmente,Mejorar salud,Descanso,Medio,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
33,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
34,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Frecuentemente,50-70 kg,Frecuentemente,Ocasionalmente,Frecuentemente,Frecuentemente,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Medio,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Ocasionalmente
35,Ocasionalmente,Menos de 30 minutos,50-100 g,Ocasionalmente,No consumo suplementos,Raramente,Menos de 50 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Bajo,Nunca,Ocasionalmente,Ninguna,Ocasionalmente,Raramente
36,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Frecuentemente,Ocasionalmente,Significativas,Frecuentemente,Frecuentemente
37,Ocasionalmente,30-60 minutos,50-100 g,Raramente,Menos de 20 g,Raramente,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Bajo,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
38,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Alto,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
39,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,Más de 90 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Raramente,Nunca,Ocasionalmente,Raramente,Ocasionalmente,Mejorar salud,Motivación,Bajo,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Raramente
40,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Frecuentemente,Frecuentemente,Significativas,Frecuentemente,Frecuentemente
41,Ocasionalmente,Menos de 30 minutos,50-100 g,Nunca,No consumo suplementos,No consumo suplementos,50-70 kg,Ocasionalmente,Raramene,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Raramente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Bajo,Nunca,Nunca,Ninguna,Ocasionalmente,Raramente
42,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Ocasionalmente,Frecuentemente,Significativas,Frecuentemente,Frecuentemente
43,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Frecuentemente,Nunca,Nunca,Ocasionalmente,Raramente,Ocasionalmente,Mejorar salud,Motivación,Medio,Raramente,Raramente,Pequeñas,Ocasionalmente,Ocasionalmente
44,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Ocasionalmente,Más de 90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Alto,Ocasionalmente,Ocasionalmente,Moderadas,Frecuentemente,Frecuentemente
45,Ocasionalmente,Menos de 30 minutos,Menos de 50 g,Raramente,No consumo suplementos,No consumo suplementos,Menos de 50 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Nunca,Nunca,Ocasionalmente,Mejorar salud,Descanso,Muy bajo,Nunca,Raramente,Ninguna,Ocasionalmente,Raramente
46,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Frecuentemente,Siempre,Significativas,Siempre,Siempre
47,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,No consumo suplementos,50-70 kg,Raramente,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Mejorar salud,Motivación,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
48,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
49,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,Menos de 50 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Frecuentemente,Nunca,Nunca,Ocasionalmente,Raramente,Ocasionalmente,Mejorar salud,Descanso,Medio,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
50,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Alto,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
51,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,No consumo suplementos,50-70 kg,Raramente,Nunca,Raramente,Ocasionalmente,Nunca,Nunca,Raramente,Nunca,Raramente,Mejorar salud,Descanso,Bajo,Nunca,Raramente,Ninguna,Raramente,Nunca
52,Ocasionalmente,Menos de 30 minutos,50-100 g,Nunca,No consumo suplementos,No consumo suplementos,Más de 90 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Raramente,Nunca,Ocasionalmente,Mejorar salud,Motivación,Muy bajo,Raramente,Raramente,Ninguna,Ocasionalmente,Raramente
53,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Muy alto,Ocasionalmente,Frecuentemente,Significativas,Frecuentemente,Frecuentemente
54,Ocasionalmente,Menos de 30 minutos,50-100 g,Raramente,Menos de 20 g,Raramente,50-70 kg,Ocasionalmente,Ocasionalmente,Raramente,Ocasionalmente,Nunca,Nunca,Nunca,Nunca,Ocasionalmente,Mejorar salud,Descanso,Bajo,Nunca,Ocasionalmente,Pequeñas,Ocasionalmente,Raramente
55,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Frecuentemente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Frecuentemente,Siempre,Significativas,Siempre,Siempre
56,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,No consumo suplementos,Menos de 50 kg,Raramente,Raramente,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Mejorar salud,Motivación,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
57,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,No consumo suplementos,No consumo suplementos,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Bajo,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
58,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Frecuentemente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
59,Ocasionalmente,Menos de 30 minutos,50-100 g,Nunca,No consumo suplementos,No consumo suplementos,Más de 90 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Raramente,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Motivación,Bajo,Nunca,Raramente,Pequeñas,Ocasionalmente,Raramente
60,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,Menos de 20 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Alto,Ocasionalmente,Frecuentemente,Significativas,Frecuentemente,Frecuentemente
61,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Frecuentemente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Medio,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
62,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Ocasionalmente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Medio,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Ocasionalmente
63,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,No consumo suplementos,50-70 kg,Raramente,Nunca,Raramente,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Mejorar salud,Descanso,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
64,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,No consumo suplementos,No consumo suplementos,Menos de 50 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Nunca,Nunca,Ocasionalmente,Mejorar salud,Motivación,Bajo,Nunca,Ocasionalmente,Pequeñas,Ocasionalmente,Raramente
65,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Frecuentemente,Frecuentemente,Significativas,Siempre,Siempre
66,Ocasionalmente,Menos de 30 minutos,50-100 g,Raramente,No consumo suplementos,No consumo suplementos,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Nunca,Nunca,Ocasionalmente,Mejorar salud,Descanso,Bajo,Nunca,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
67,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Ocasionalmente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
68,Ocasionalmente,30-60 minutos,50-100 g,Nunca,No consumo suplementos,No consumo suplementos,Más de 90 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Raramente,Nunca,Raramente,Nunca,Ocasionalmente,Mejorar salud,Motivación,Bajo,Nunca,Raramente,Ninguna,Ocasionalmente,Raramente
69,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Ocasionalmente,Frecuentemente,Significativas,Frecuentemente,Frecuentemente
70,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,Nunca,Menos de 50 kg,Raramente,Nunca,Nunca,Ocasionalmente,Nunca,Nunca,Raramente,Nunca,Raramente,Mejorar salud,Descanso,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
71,Ocasionalmente,30-60 minutos,50-100 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Frecuentemente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Medio,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
72,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Frecuentemente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Frecuentemente,Frecuentemente,Mejorar salud,Nutrición,Muy alto,Frecuentemente,Siempre,Significativas,Siempre,Siempre
73,Raramente,Menos de 30 minutos,Menos de 50 g,Nunca,No consumo suplementos,Nunca,Más de 90 kg,Raramente,Nunca,Nunca,Raramente,Nunca,Nunca,Nunca,Nunca,Raramente,Mejorar salud,Motivación,Muy bajo,Nunca,Nunca,Ninguna,Nunca,Nunca
74,Ocasionalmente,30-60 minutos,50-100 g,Raramente,No consumo suplementos,No consumo suplementos,50-70 kg,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Raramente,Nunca,Ocasionalmente,Mejorar salud,Descanso,Bajo,Raramente,Ocasionalmente,Pequeñas,Ocasionalmente,Ocasionalmente
75,Frecuentemente,30-60 minutos,100-150 g,Ocasionalmente,Menos de 20 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Raramente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Entrenamiento,Alto,Frecuentemente,Frecuentemente,Moderadas,Frecuentemente,Frecuentemente
76,Ocasionalmente,Menos de 30 minutos,50-100 g,Nunca,No consumo suplementos,No consumo suplementos,Menos de 50 kg,Ocasionalmente,Raramente,Ocasionalmente,Ocasionalmente,Nunca,Nunca,Ocasionalmente,Nunca,Ocasionalmente,Mejorar salud,Motivación,Muy bajo,Nunca,Raramente,Pequeñas,Ocasionalmente,Raramente
77,Frecuentemente,30-60 minutos,100-150 g,Frecuentemente,20-40 g,Ocasionalmente,70-90 kg,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Ocasionalmente,Ocasionalmente,Frecuentemente,Ocasionalmente,Frecuentemente,Mejorar salud,Nutrición,Alto,Ocasionalmente,Frecuentemente,Signifcativas,Frecuentemente,Frecuentemente
