"Frecuencia de actividad física semanal","Duración promedio por sesión (minutos)","Consumo diario de proteínas (gramos)","Consumo de suplementos proteicos","Cantidad diaria de proteínas por suplementos (gramos)","Seguimiento de plan nutricional específico","Peso corporal actual (kg)","Seguimiento de plan de entrenamiento estructurado","Monitoreo de progresos físicos","Alimentación adaptada a objetivos deportivos","Horas de sueño recomendadas","Frecuencia de lesiones","Participación en competencias","Motivación antes de entrenamientos","Orientación profesional recibida","Entorno que favorece el rendimiento","Objetivo principal del deporte","Factor que más influye en el rendimiento"
"Frecuentemente",90,"50-100","Ocasionalmente",30,"Frecuentemente",75,"Frecuentemente","Frecuentemente","Siempre","Ocasionalmente","Siempre","Ocasionalmente","Siempre","A veces","A veces","Mejorar salud","Nutrición"
"Frecuentemente",30,"50-100","Ocasionalmente",20,"Frecuentemente",70,"Frecuentemente","Siempre","Siempre","Ocasionalmente","Siempre","Ocasionalmente","Siempre","Siempre","Siempre","Mejorar salud","Nutrición"
"Ocasionalmente",45,"100-150","Raramente",0,"Ocasionalmente",65,"Ocasionalmente","Ocasionalmente","A veces","Ocasionalmente","A veces","Ocasionalmente","A veces","A menudo","A veces","Competir a nivel amateur","Entrenamiento"
"Siempre",60,"Más de 150","Siempre",40,"Siempre",80,"Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Competir a nivel profesional","Descanso"
"Raramente",25,"Menos de 50","Ocasionalmente",0,"Raramente",60,"Raramente","Raramente","A veces","Raramente","A veces","Raramente","A veces","A menudo","A veces","Otro","Motivación"
"Frecuentemente",90,"50-100","Ocasionalmente",30,"Frecuentemente",75,"Frecuentemente","Frecuentemente","Siempre","Ocasionalmente","Siempre","Ocasionalmente","Siempre","A veces","A veces","Mejorar salud","Nutrición"
"Raramente",15,"Menos de 50","Ocasionalmente",0,"Raramente",55,"Raramente","Raramente","A veces","Raramente","A veces","Raramente","A veces","A menudo","A veces","Competir a nivel amateur","Entrenamiento"
"Siempre",120,"Más de 150","Siempre",50,"Siempre",85,"Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Competir a nivel profesional","Descanso"
"Raramente",30,"Menos de 50","Ocasionalmente",0,"Raramente",65,"Raramente","Raramente","A veces","Raramente","A veces","Raramente","A veces","A menudo","A veces","Otro","Motivación"
"Frecuentemente",60,"50-100","Ocasionalmente",25,"Frecuentemente",70,"Frecuentemente","Frecuentemente","Siempre","Ocasionalmente","Siempre","Ocasionalmente","Siempre","A veces","A veces","Mejorar salud","Nutrición"
"Raramente",20,"Menos de 50","Ocasionalmente",0,"Raramente",50,"Raramente","Raramente","A veces","Raramente","A veces","Raramente","A veces","A menudo","A veces","Competir a nivel amateur","Entrenamiento"
"Siempre",90,"Más de 150","Siempre",60,"Siempre",90,"Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Competir a nivel profesional","Descanso"
"Raramente",35,"Menos de 50","Ocasionalmente",0,"Raramente",60,"Raramente","Raramente","A veces","Raramente","A veces","Raramente","A veces","A menudo","A veces","Otro","Motivación"
"Frecuentemente",50,"50-100","Ocasionalmente",20,"Frecuentemente",65,"Frecuentemente","Frecuentemente","Siempre","Ocasionalmente","Siempre","Ocasionalmente","Siempre","A veces","A veces","Mejorar salud","Nutrición"
"Raramente",40,"Menos de 50","Ocasionalmente",0,"Raramente",55,"Raramente","Raramente","A veces","Raramente","A veces","Raramente","A veces","A menudo","A veces","Competir a nivel amateur","Entrenamiento"
"Siempre",80,"Más de 150","Siempre",70,"Siempre",95,"Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Siempre","Competir a nivel profesional","Descanso"
"Raramente",30,"Menos de 50","Ocasionalmente",0,"Raramente",60,"Raramente","Raramente","A veces","Raramente","A veces","Raramente","A veces","A menudo","A veces","Otro","Motivación"
"Frecuentemente",70,"50-100","Ocasionalmente",30,"Frecuentemente",75,"Frecuentemente","Frecuentemente","Siempre","Ocasionalmente","Siempre","Ocasionalmente","Siempre","A veces","A veces","Mejorar salud","Nutrición"
"Frecuentemente", 30, "50-100", "Ocasionalmente", 20, "Frecuentemente", 70, "Frecuentemente", "Siempre", "Siempre", "Ocasionalmente", "Siempre", "Ocasionalmente", "Siempre", "Siempre", "Siempre", "Mejorar salud", "Nutrición"
"Ocasionalmente", 45, "100-150", "Raramente", 0, "Ocasionalmente", 65, "Ocasionalmente", "Ocasionalmente", "A veces", "Ocasionalmente", "A veces", "Ocasionalmente", "A veces", "A menudo", "A veces", "Competir a nivel amateur", "Entrenamiento"
"Siempre", 60, "Más de 150", "Siempre", 40, "Siempre", 80, "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Competir a nivel profesional", "Descanso"
"Raramente", 25, "Menos de 50", "Ocasionalmente", 0, "Raramente", 60, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Otro", "Motivación"
"Frecuentemente", 90, "50-100", "Ocasionalmente", 30, "Frecuentemente", 75, "Frecuentemente", "Frecuentemente", "Siempre", "Ocasionalmente", "Siempre", "Ocasionalmente", "Siempre", "A veces", "A veces", "Mejorar salud", "Nutrición"
"Raramente", 15, "Menos de 50", "Ocasionalmente", 0, "Raramente", 55, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Competir a nivel amateur", "Entrenamiento"
"Siempre", 120, "Más de 150", "Siempre", 50, "Siempre", 85, "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Competir a nivel profesional", "Descanso"
"Raramente", 30, "Menos de 50", "Ocasionalmente", 0, "Raramente", 65, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Otro", "Motivación"
"Frecuentemente", 60, "50-100", "Ocasionalmente", 25, "Frecuentemente", 70, "Frecuentemente", "Frecuentemente", "Siempre", "Ocasionalmente", "Siempre", "Ocasionalmente", "Siempre", "A veces", "A veces", "Mejorar salud", "Nutrición"
"Ocasionalmente", 45, "100-150", "Raramente", 0, "Ocasionalmente", 68, "Ocasionalmente", "Ocasionalmente", "A veces", "Ocasionalmente", "A veces", "Ocasionalmente", "A veces", "A menudo", "A veces", "Competir a nivel amateur", "Entrenamiento"
"Siempre", 60, "Más de 150", "Siempre", 40, "Siempre", 78, "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Competir a nivel profesional", "Descanso"
"Raramente", 20, "Menos de 50", "Ocasionalmente", 0, "Raramente", 62, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Otro", "Motivación"
"Frecuentemente", 90, "50-100", "Ocasionalmente", 30, "Frecuentemente", 74, "Frecuentemente", "Frecuentemente", "Siempre", "Ocasionalmente", "Siempre", "Ocasionalmente", "Siempre", "A veces", "A veces", "Mejorar salud", "Nutrición"
"Raramente", 15, "Menos de 50", "Ocasionalmente", 0, "Raramente", 56, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Competir a nivel amateur", "Entrenamiento"
"Siempre", 120, "Más de 150", "Siempre", 50, "Siempre", 82, "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Competir a nivel profesional", "Descanso"
"Raramente", 30, "Menos de 50", "Ocasionalmente", 0, "Raramente", 69, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Otro", "Motivación"
"Frecuentemente", 60, "50-100", "Ocasionalmente", 25, "Frecuentemente", 73, "Frecuentemente", "Frecuentemente", "Siempre", "Ocasionalmente", "Siempre", "Ocasionalmente", "Siempre", "A veces", "A veces", "Mejorar salud", "Nutrición"
"Ocasionalmente", 45, "100-150", "Raramente", 0, "Ocasionalmente", 66, "Ocasionalmente", "Ocasionalmente", "A veces", "Ocasionalmente", "A veces", "Ocasionalmente", "A veces", "A menudo", "A veces", "Competir a nivel amateur", "Entrenamiento"
"Frecuentemente", 30, "50-100", "Ocasionalmente", 20, "Frecuentemente", 70, "Frecuentemente", "Siempre", "Siempre", "Ocasionalmente", "Siempre", "Ocasionalmente", "Siempre", "Siempre", "Siempre", "Mejorar salud", "Nutrición"
"Ocasionalmente", 45, "100-150", "Raramente", 0, "Ocasionalmente", 65, "Ocasionalmente", "Ocasionalmente", "A veces", "Ocasionalmente", "A veces", "Ocasionalmente", "A veces", "A menudo", "A veces", "Competir a nivel amateur", "Entrenamiento"
"Siempre", 60, "Más de 150", "Siempre", 40, "Siempre", 80, "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Competir a nivel profesional", "Descanso"
"Raramente", 25, "Menos de 50", "Ocasionalmente", 0, "Raramente", 60, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Otro", "Motivación"
"Frecuentemente", 90, "50-100", "Ocasionalmente", 30, "Frecuentemente", 75, "Frecuentemente", "Frecuentemente", "Siempre", "Ocasionalmente", "Siempre", "Ocasionalmente", "Siempre", "A veces", "A veces", "Mejorar salud", "Nutrición"
"Raramente", 15, "Menos de 50", "Ocasionalmente", 0, "Raramente", 55, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Competir a nivel amateur", "Entrenamiento"
"Siempre", 120, "Más de 150", "Siempre", 50, "Siempre", 85, "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Competir a nivel profesional", "Descanso"
"Raramente", 30, "Menos de 50", "Ocasionalmente", 0, "Raramente", 65, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Otro", "Motivación"
"Frecuentemente", 60, "50-100", "Ocasionalmente", 25, "Frecuentemente", 74, "Frecuentemente", "Frecuentemente", "Siempre", "Ocasionalmente", "Siempre", "Ocasionalmente", "Siempre", "A veces", "A veces", "Mejorar salud", "Nutrición"
"Raramente", 20, "Menos de 50", "Ocasionalmente", 0, "Raramente", 68, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Competir a nivel amateur", "Entrenamiento"
"Siempre", 90, "Más de 150", "Siempre", 45, "Siempre", 82, "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Competir a nivel profesional", "Descanso"
"Raramente", 15, "Menos de 50", "Ocasionalmente", 0, "Raramente", 60, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Otro", "Motivación"
"Frecuentemente", 80, "50-100", "Ocasionalmente", 35, "Frecuentemente", 78, "Frecuentemente", "Frecuentemente", "Siempre", "Ocasionalmente", "Siempre", "Ocasionalmente", "Siempre", "A veces", "A veces", "Mejorar salud", "Nutrición"
"Raramente", 25, "Menos de 50", "Ocasionalmente", 0, "Raramente", 65, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Competir a nivel amateur", "Entrenamiento"
"Siempre", 100, "Más de 150", "Siempre", 50, "Siempre", 80, "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Siempre", "Competir a nivel profesional", "Descanso"
"Raramente", 30, "Menos de 50", "Ocasionalmente", 0, "Raramente", 60, "Raramente", "Raramente", "A veces", "Raramente", "A veces", "Raramente", "A veces", "A menudo", "A veces", "Otro", "Motivación"
"Frecuentemente", 70, "50-100", "Ocasionalmente", 30, "Frecuentemente", 75, "Frecuentemente", "Frecuentemente", "Siempre", "Ocasionalmente", "Siempre", "Ocasionalmente", "Siempre", "A veces", "A veces", "Mejorar salud", "Nutrición"
