"Marca temporal","Seleccione su edad","Seleccione su sexo","Seleccione su Estado Civil","Seleccione su Municipio","¿Con qué frecuencia tiene problemas con cañerías tapadas?","Seleccione un número entre uno y cinco dependiendo de qué tanto cubre sus necesidades nuestro producto","¿Con qué frecuencia realiza mantenimiento preventivo en las cañerías de su hogar?","¿Qué tan satisfecho está con la variedad de productos para destapar cañerías disponibles en el mercado?","¿Cuál de los siguientes medios utiliza con más frecuencia para informarse sobre productos de limpieza del hogar?","¿Qué factor es más importante para usted al momento de comprar un producto para destapar cañerías?"
"2023/03/19 10:36:00 a. m. GMT-6","41 a 60","Femenino","Divorciado (a)","Belén","Nunca","5","Ocasionalmente (cada 6 meses)","Satisfecho","Recomendaciones de familiares o amigos","Que sea ecológico / biodegradable"
"2023/03/19 10:38:00 a. m. GMT-6","15 a 27","No Binario","Soltero (a)","Moyogalpa","Frecuentemente","3","Frecuentemente (cada 3 meses)","Neutral","Internet / buscadores, Televisión","Facilidad de uso"
"2023/03/19 10:40:00 a. m. GMT-6","28 a 40","Masculino","Casado (a)","San Jorge","Raramente","4","Siempre (cada mes)","Muy satisfecho","Redes sociales","Precio"
"2023/03/19 10:42:00 a. m. GMT-6","15 a 27","Femenino","En unión libre","Cárdenas","Ocasionalmente","2","Raramente (una vez al año)","Insatisfecho","Periódicos o revistas","Eficacia / rapidez"
"2023/03/19 10:44:00 a. m. GMT-6","61 o más","Masculino","Viudo (a)","Tola","Nunca","5","Siempre (cada mes)","Muy satisfecho","Radio, Redes sociales","Presentación / tamaño del envase"
"2023/03/19 10:46:00 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Buenos Aires","Raramente","3","Nunca","Neutral","Internet / buscadores","Marca reconocida"
"2023/03/19 10:48:00 a. m. GMT-6","28 a 40","Masculino","Soltero (a)","Potosí","Muy frecuentemente","1","Frecuentemente (cada 3 meses)","Insatisfecho","Televisión, Redes sociales","Precio"
"2023/03/19 10:50:00 a. m. GMT-6","15 a 27","No Binario","Casado (a)","Rivas","Ocasionalmente","4","Ocasionalmente (cada 6 meses)","Satisfecho","Recomendaciones de familiares o amigos","Que sea ecológico / biodegradable"
"2023/03/19 10:52:00 a. m. GMT-6","41 a 60","Femenino","Divorciado (a)","Altagracia","Raramente","3","Raramente (una vez al año)","Neutral","Radio, Internet / buscadores","Facilidad de uso"
"2023/03/19 10:54:00 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","San Juan del Sur","Nunca","4","Nunca","Satisfecho","Redes sociales","Eficacia / rapidez"
"2023/03/19 10:56:00 a. m. GMT-6","28 a 40","Femenino","En unión libre","Belén","Frecuentemente","2","Siempre (cada mes)","Neutral","Internet / buscadores","Precio"
"2023/03/19 10:58:00 a. m. GMT-6","15 a 27","Masculino","Casado (a)","Moyogalpa","Ocasionalmente","5","Frecuentemente (cada 3 meses)","Muy satisfecho","Televisión","Marca reconocida"
"2023/03/19 11:00:00 a. m. GMT-6","61 o más","Femenino","Viudo (a)","San Jorge","Raramente","3","Raramente (una vez al año)","Satisfecho","Periódicos o revistas, Televisión","Presentación / tamaño del envase"
"2023/03/19 11:02:00 a. m. GMT-6","15 a 27","No Binario","Soltero (a)","Cárdenas","Nunca","4","Nunca","Neutral","Redes sociales, Internet / buscadores","Facilidad de uso"
"2023/03/19 11:04:00 a. m. GMT-6","28 a 40","Masculino","Soltero (a)","Tola","Muy frecuentemente","1","Ocasionalmente (cada 6 meses)","Insatisfecho","Radio","Precio"
"2023/03/19 11:06:00 a. m. GMT-6","15 a 27","Femenino","Casado (a)","Buenos Aires","Raramente","3","Siempre (cada mes)","Satisfecho","Recomendaciones de familiares o amigos","Eficacia / rapidez"
"2023/03/19 11:08:00 a. m. GMT-6","41 a 60","Masculino","Divorciado (a)","Potosí","Ocasionalmente","4","Frecuentemente (cada 3 meses)","Muy satisfecho","Internet / buscadores, Televisión","Que sea ecológico / biodegradable"
"2023/03/19 11:10:00 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Rivas","Nunca","2","Nunca","Neutral","Redes sociales","Precio"
"2023/03/19 11:12:00 a. m. GMT-6","28 a 40","Masculino","En unión libre","Altagracia","Frecuentemente","5","Siempre (cada mes)","Satisfecho","Televisión, Radio","Marca reconocida"
"2023/03/19 11:14:00 a. m. GMT-6","15 a 27","No Binario","Soltero (a)","San Juan del Sur","Raramente","3","Raramente (una vez al año)","Neutral","Internet / buscadores","Presentación / tamaño del envase"
"2023/03/19 11:16:00 a. m. GMT-6","61 o más","Femenino","Viudo (a)","Belén","Ocasionalmente","4","Frecuentemente (cada 3 meses)","Satisfecho","Periódicos o revistas","Facilidad de uso"
"2023/03/19 11:18:00 a. m. GMT-6","15 a 27","Masculino","Casado (a)","Moyogalpa","Nunca","3","Nunca","Neutral","Redes sociales, Internet / buscadores","Precio"
"2023/03/19 11:20:00 a. m. GMT-6","28 a 40","Femenino","Soltero (a)","Cárdenas","Raramente","2","Ocasionalmente (cada 6 meses)","Insatisfecho","Radio","Eficacia / rapidez"
"2023/03/19 11:22:00 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","San Jorge","Muy frecuentemente","1","Nunca","Muy insatisfecho","Recomendaciones de familiares o amigos","Que sea ecológico / biodegradable"
"2023/03/19 11:24:00 a. m. GMT-6","41 a 60","Femenino","Divorciado (a)","Tola","Ocasionalmente","4","Siempre (cada mes)","Muy satisfecho","Televisión, Redes sociales","Precio"
"2023/03/19 11:26:00 a. m. GMT-6","15 a 27","No Binario","En unión libre","Buenos Aires","Nunca","5","Raramente (una vez al año)","Neutral","Internet / buscadores","Marca reconocida"
"2023/03/19 11:28:00 a. m. GMT-6","28 a 40","Masculino","Casado (a)","Potosí","Raramente","3","Frecuentemente (cada 3 meses)","Satisfecho","Radio, Redes sociales","Facilidad de uso"
"2023/03/19 11:30:00 a. m. GMT-6","15 a 27","Femenino","Soltero (a)","Rivas","Frecuentemente","4","Siempre (cada mes)","Neutral","Internet / buscadores, Televisión","Presentación / tamaño del envase"
"2023/03/19 11:32:00 a. m. GMT-6","61 o más","Masculino","Viudo (a)","Altagracia","Ocasionalmente","2","Nunca","Insatisfecho","Periódicos o revistas","Precio"
"2023/03/19 11:34:00 a. m. GMT-6","15 a 27","Femenino","Casado (a)","Belén","Nunca","5","Ocasionalmente (cada 6 meses)","Muy satisfecho","Redes sociales","Eficacia / rapidez"
"2023/03/19 11:36:00 a. m. GMT-6","28 a 40","No Binario","Soltero (a)","San Juan del Sur","Raramente","3","Frecuentemente (cada 3 meses)","Neutral","Recomendaciones de familiares o amigos","Que sea ecológico / biodegradable"
"2023/03/19 11:38:00 a. m. GMT-6","15 a 27","Masculino","En unión libre","Moyogalpa","Muy frecuentemente","1","Nunca","Muy insatisfecho","Radio","Marca reconocida"
"2023/03/19 11:40:00 a. m. GMT-6","41 a 60","Femenino","Divorciado (a)","Cárdenas","Ocasionalmente","4","Siempre (cada mes)","Satisfecho","Televisión, Internet / buscadores","Precio"
"2023/03/19 11:42:00 a. m. GMT-6","15 a 27","Masculino","Soltero (a)","San Jorge","Raramente","2","Raramente (una vez al año)","Neutral","Redes sociales","Facilidad de uso"
"2023/03/19 11:44:00 a. m. GMT-6","28 a 40","Femenino","Casado (a)","Tola","Nunca","4","Frecuentemente (cada 3 meses)","Satisfecho","Internet / buscadores","Presentación / tamaño del envase"
"2023/03/19 11:46:00 a. m. GMT-6","15 a 27","No Binario","Soltero (a)","Buenos Aires","Frecuentemente","3","Ocasionalmente (cada 6 meses)","Neutral","Periódicos o revistas, Radio","Eficacia / rapidez"
"2023/03/19 11:48:00 a. m. GMT-6","61 o más","Femenino","Viudo (a)","Potosí","Ocasionalmente","5","Siempre (cada mes)","Muy satisfecho","Recomendaciones de familiares o amigos, Televisión","Que sea ecológico / biodegradable"
"2023/03/19 11:50:00 a. m. GMT-6","15 a 27","Masculino","Casado (a)","Rivas","Raramente","3","Nunca","Satisfecho","Redes sociales, Internet / buscadores","Precio"
"2023/03/19 11:52:00 a. m. GMT-6","28 a 40","Femenino","Soltero (a)","Altagracia","Nunca","4","Frecuentemente (cada 3 meses)","Neutral","Radio","Marca reconocida"
"2023/03/19 11:54:00 a. m. GMT-6","15 a 27","Masculino","En unión libre","Belén","Muy frecuentemente","1","Raramente (una vez al año)","Insatisfecho","Internet / buscadores","Facilidad de uso"
"2023/03/19 11:56:00 a. m. GMT-6","41 a 60","Femenino","Divorciado (a)","San Juan del Sur","Ocasionalmente","3","Siempre (cada mes)","Satisfecho","Televisión","Presentación / tamaño del envase"
"2023/03/19 11:58:00 a. m. GMT-6","15 a 27","No Binario","Soltero (a)","Moyogalpa","Raramente","2","Nunca","Neutral","Redes sociales, Radio","Precio"
"2023/03/19 12:00:00 p. m. GMT-6","28 a 40","Masculino","Casado (a)","Cárdenas","Frecuentemente","5","Frecuentemente (cada 3 meses)","Muy satisfecho","Internet / buscadores, Recomendaciones de familiares o amigos","Eficacia / rapidez"
